name,amenity
Repair Café,cafe
KukuGreen Münster,restaurant
60 seconds to napoli,restaurant
Kostbar,restaurant
Artusi,restaurant
Bistro PI,cafe
Les Cedres,restaurant
Alexianer Waschküche,bar
geiping Bäckerei & Cafe,cafe
Eyes-Café,cafe
Little Martini,restaurant
Casa Pazzi,restaurant
MachMittag,restaurant
Trattoria Traversa,restaurant
Herr Hase,cafe
Artusi Cafè-Vino-Bar,cafe
Die 3 Schwestern,restaurant
Geiping - Café und Bäckerei,cafe
La Californie,cafe
LUX Barkultur und Grillkunst,restaurant
Midi Libre,cafe
das heini,restaurant
Hof Lütke Laxen,restaurant
Casino,restaurant
Elbēn,fast_food
Kulti Kebab,fast_food
Asia Binh,restaurant
Die Glocke,restaurant
Coconut Beach,bar
Parkrestaurant,restaurant
Börneken,restaurant
Dari Grill,fast_food
Dorfgrill,fast_food
Schloßtheater,cafe
Eulen und Lerchen,cafe
Campus Café,cafe
Belchicken,fast_food
WonderWaffel,cafe
Peter Pane,restaurant
Papa George Nienberge,fast_food
h. krimphove,cafe
Münsterland Ost,restaurant
Simons Kaufladen-Café,cafe
Maria's Pastabar,fast_food
dean&david,restaurant
Smells Like,restaurant
Kochmütze,restaurant
Cappadocia,fast_food
Hamburger Point,fast_food
Pizza Factory,restaurant
Burger Lounge,fast_food
KARAMNA,fast_food
Áro,fast_food
IchiBan,restaurant
Pizza Parma,restaurant
Mr. Thai,fast_food
Umami,fast_food
1648,cafe
Kneisterei,restaurant
Wald-Gourmet,restaurant
Hölt´ne Schluse,restaurant
Sandruper Baum,restaurant
Heidekrug,restaurant
TORHAUS Münster,restaurant
Schöne Aussichten,restaurant
Road Stop,restaurant
McDonald's,fast_food
Landgasthof Pleister Mühle,restaurant
Jü Xin,restaurant
Stapelskotten,restaurant
Bistro und Café Tafelschmitz,cafe
Eis Café Adria,cafe
Mr. Wok,fast_food
Bikdash Nabulsia,fast_food
Magnolia,cafe
Il Pizzaiolo,restaurant
Gustav Grün,restaurant
Yassas,restaurant
Borgo Antico,restaurant
Al Hayat,fast_food
Pizza Venezia,restaurant
Stehcafe Enjoy Baguetteria,cafe
Banca del Gusto,restaurant
Café 19/7,cafe
Grillakademie Münsterland,restaurant
Ratskeller,restaurant
Zum zweischneidigen Pferd,restaurant
Cuchara,restaurant
Áro,restaurant
,fast_food
MERO´S,restaurant
Sep's Café,cafe
Star Pizzaria,fast_food
ami & aki,cafe
Five Guys,fast_food
Falafel Point,fast_food
Áro,fast_food
eat happy sushi,restaurant
HBB Bistro,fast_food
Eulen & Lerchen,bar
Betriebsrestaurant Christian Habrock,restaurant
Senti (Café Am Turm),cafe
Hiltruper Stuben,restaurant
Trattoria La Bruschetta,restaurant
Whimsy,bar
Café Strandgut,cafe
Wuddi,cafe
Smiley's Pizza Profis,fast_food
Spelunke,restaurant
Anadolu,fast_food
JAZ-Café,cafe
Cheers Pizzaservice,fast_food
Café Lockvogel,cafe
Sport-Bar,bar
Stadtteilcafé,cafe
roestbar Campus,cafe
Bei Enzo,restaurant
Dufte Dinger,restaurant
Im Viertel,cafe
Peperoni,restaurant
Taco Brothers,fast_food
Café Hansahof,cafe
Kebab Kumpel's,fast_food
Maison Morel,restaurant
Kartoffel Kavalier,fast_food
Wilma,cafe
DOUDOU Deli,cafe
Cafebar Los Amigos,cafe
Zur alten Post,restaurant
Mondial-Grill,fast_food
Pizza V.I.P,fast_food
Pipavino,restaurant
roestbar,cafe
Haus des Döners,fast_food
Gemeinde Café,cafe
Umami Running Sushi,restaurant
Oh Bagel,fast_food
Thomy's Steh-Café,cafe
PALUMBO Weinbar,bar
Borussen-Treff,bar
Fritas Fritz,fast_food
Café Grisu,cafe
Royal Kebap,fast_food
Mönnig,cafe
Gold & Brown,restaurant
Der silberne Löffel,restaurant
Pizza Max,fast_food
Grill Point,fast_food
Piräus,restaurant
Squisito,restaurant
Sulti Kebab,fast_food
Bei Memo,restaurant
Musti Kebab,fast_food
Pizza Max,fast_food
Pain & gâteau,cafe
Ella & Speiche,cafe
XIAO,restaurant
Palumbo,restaurant
Café Moya,cafe
Monsieur P,restaurant
SpecOps Network,bar
Café Central,cafe
A Modo Mio Vino Teca Rinaudo,restaurant
LeibesLust,restaurant
Golfclub Münster-Tinnen,restaurant
Aladdin,fast_food
BRICK'S,restaurant
Biedermeier's,cafe
Be You,cafe
Unico Bar,restaurant
Dönerkult.de,fast_food
Olea,fast_food
Nabati,restaurant
Max & Moritz,fast_food
Happy Monkey,cafe
Melograno Café & Restaurant,cafe
King Döner,fast_food
Gaststätte Mauritius,restaurant
Cuchara,restaurant
Nienberger Grill,fast_food
Franz Küche,fast_food
Amadeus Heinemanns Grill,fast_food
Berliner Bär,restaurant
Galeria Restaurant,restaurant
Dat Handorfer Huus,restaurant
Marktkauf Bistro,restaurant
Sulti's Kebab,fast_food
Pasta la Vista,restaurant
Ma Ma Noodl,restaurant
Krug,restaurant
Wiener Bistro,restaurant
Hong Bin Taxi,fast_food
Döner&Pizza Palast,fast_food
Kebab Freunde,fast_food
pain et gâteau,cafe
Crem Lasse,cafe
Segafredo,cafe
Segafredo,cafe
Bauwagen auf der Obstwiese,cafe
Adler Asmar,fast_food
Schloßgarten-Café,cafe
Mensa DaVinci,fast_food
Hotel Krautkrämer,restaurant
Burger King,fast_food
McDonald's,fast_food
Bakenhof,restaurant
Caputo's,restaurant
Dorfkrug,restaurant
Haus Hüerländer,restaurant
Keßler's Landhaus,restaurant
Restaurant Ackermann,restaurant
Brust oder Keule,restaurant
Zum Himmelreich,restaurant
Der Strandhof,restaurant
Vennemann,restaurant
