WKT,ID,Produkt,Teilprodukt,Name,Plz,Strname,Hsnr,Rechtswert,Hochwert
"POINT (3403484 5763483)",331,Turn- und Sporthallen,Zweifachhalle,Grundschule Kinderhaus-West,48159,Josef-Beckmann-Straße,33,3403484,5763483
"POINT (3403484 5763483)",332,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Grundschule Kinderhaus-West,48159,Josef-Beckmann-Straße,33,3403484,5763483
"POINT (3405202 5759806)",333,Turn- und Sporthallen,Einfachhallen,Paul-Gerhardt-Realschule,48143,Jüdefelderstraße,10,3405202,5759806
"POINT (3405202 5759806)",334,Sportaußenanlagen an Schulen,Haupt-/Realschulen,Sportfläche Paul-Gerhardt-Realschule,48143,Jüdefelderstraße,10,3405202,5759806
"POINT (3405202 5759806)",335,Sportaußenanlagen an Schulen,Haupt-/Realschulen,Sportfläche Überwasserschule,48143,Jüdefelderstraße,10,3405202,5759806
"POINT (3407009 5759763)",336,Turn- und Sporthallen,Einfachhallen,Adolph-Kolping-Berufskolleg,48145,Kaiser-Wilhelm-Ring,1,3407009,5759763
"POINT (3405496 5760419)",337,Turn- und Sporthallen,Einfachhallen,Kreuzschule,48147,Kampstraße,15,3405496,5760419
"POINT (3405496 5760419)",338,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Kreuzschule,48147,Kampstraße,15,3405496,5760419
"POINT (3405244 5759833)",339,Turn- und Sporthallen,Einfachhallen,Überwasserhalle 1x,48143,Katthagen,7,3405244,5759833
"POINT (3401180 5763419)",340,Turn- und Sporthallen,Einfachhallen,Annette-von-Droste-Hülshoff,48161,Kirmstraße,1,3401180,5763419
"POINT (3407031 5763022)",341,Turn- und Sporthallen,Einfachhallen,Melanchthonschule,48157,Königsberger Straße,91,3407031,5763022
"POINT (3407031 5763022)",342,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Melanchtonschule,48157,Königsberger Straße,91,3407031,5763022
"POINT (3410057 5757880)",343,Sondersportanlagen,Beachvolleyballanlagen,Freibad Stapelskotten,48157,Laerer Werseufer,2,3410057,5757880
"POINT (3406016 5760150)",344,Turn- und Sporthallen,Dreifachhallen,Adolph-Kolping-Berufskolleg,48147,Lotharingerstraße,30,3406016,5760150
"POINT (3408743 5759650)",345,Bezirkssportanlage,überlassen,Sportanlage Maikottenweg,48155,Maikottenweg,188,3408743,5759650
"POINT (3407460 5759224)",346,Turn- und Sporthallen,Gymnastikräume,Anne-Frank-Berufskolleg,48145,Manfred-von-Richthofen-Straße,39,3407460,5759224
"POINT (3407668 5759088)",347,Sportaußenanlagen an Schulen,Haupt-/Realschulen,Sportfläche Fürstin-von-Gallitzin-,48145,Manfred-von-Richthofen-Straße,46,3407668,5759088
"POINT (3407730 5759186)",348,Sportaußenanlagen an Schulen,Förderschulen,Sportfläche Albert-Schweitzer-,48145,Manfred-von-Richthofen-Straße,49,3407730,5759186
"POINT (3407768 5759133)",349,Turn- und Sporthallen,Dreifachhallen,Sporthalle Ost,48145,Manfred-von-Richthofen-Straße,56,3407768,5759133
"POINT (3407768 5759133)",350,Bezirkssportanlage,überlassen,Sportanlage von-Richthofen-Straße,48145,Manfred-von-Richthofen-Straße,56,3407768,5759133
"POINT (3407901 5759093)",351,Turn- und Sporthallen,Zweifachhalle,Fürstin-von-Gallitzin-,48145,Manfred-von-Richthofen-Straße,60,3407901,5759093
"POINT (3406917 5758927)",352,Turn- und Sporthallen,Einfachhallen,Overbergschule,48145,Margaretenstraße,6,3406917,5758927
"POINT (3406917 5758927)",353,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Overbergschule,48145,Margaretenstraße,6,3406917,5758927
"POINT (3407929 5759326)",354,Bezirkssportanlage,überlassen,Sportanlage Mauritz-Lindenweg,48145,Mauritz-Lindenweg,93,3407929,5759326
"POINT (3407929 5759326)",355,Sondersportanlagen,Speckbrettanlagen,Sportanlage Mauritz-Lindenweg,48145,Mauritz-Lindenweg,93,3407929,5759326
"POINT (3407929 5759326)",356,Sondersportanlagen,Beachvolleyballanlagen,Sportzentrum Ost,48145,Mauritz-Lindenweg,93,3407929,5759326
